Date,Open,High,Low,Close,Volume
2016-02-17,4.8,5.75,4.8,5.75,1044
2016-02-16,3.45,4.96,2.77,4.96,4159
2016-02-10,3.3,3.73,3.3,3.73,153
2016-02-03,3.31,3.31,3.15,3.15,259
2016-02-01,3.41,3.41,2.76,2.76,148
2016-01-28,3.73,3.73,3.0,3.73,729
2016-01-27,3.0,3.3,2.4,3.3,813
2016-01-25,3.2,3.2,2.69,2.69,318
2016-01-21,3.01,3.41,2.71,2.71,86
2016-01-20,3.23,3.87,2.69,3.74,514
2016-01-19,3.5,3.63,2.81,3.23,681
2016-01-18,3.3,3.85,2.7,3.82,3610
2016-01-15,2.64,3.0,2.64,3.0,655
2016-01-14,2.6,3.11,2.25,2.28,2540
2016-01-13,2.6,3.12,2.15,2.99,638
2016-01-12,2.65,2.96,2.15,2.6,990
2016-01-11,2.97,3.55,2.38,2.91,1351
2016-01-08,2.64,3.16,2.55,2.55,757
2016-01-07,2.4,2.7,1.93,2.4,1660
2016-01-04,2.4,2.65,1.93,2.0,816
2015-12-30,2.99,2.99,2.4,2.99,312
2015-12-29,2.47,3.0,2.47,2.75,355
2015-12-28,2.66,3.07,2.14,3.07,641
2015-12-23,2.89,3.45,2.32,2.65,541
2015-12-22,2.55,3.0,2.55,2.56,170
2015-12-21,3.13,3.25,2.96,2.96,315
2015-12-18,3.15,3.15,2.85,2.85,575
2015-12-17,3.14,3.76,2.53,3.15,857
2015-12-16,3.2,3.84,2.56,3.45,1320
2015-12-15,3.5,4.2,2.96,3.21,1132
2015-12-14,3.82,4.49,3.15,4.47,1082
2015-12-11,4.19,4.19,4.19,4.19,5
2015-12-09,3.64,4.36,2.92,4.35,7041
2015-12-08,3.8,4.0,3.8,4.0,135
2015-12-02,3.67,4.4,3.67,4.4,1216
2015-11-27,3.46,4.11,2.77,4.11,285
2015-11-23,3.46,3.8,3.46,3.8,3
2015-11-19,3.75,3.75,3.07,3.07,194
2015-11-18,4.02,4.02,4.0,4.0,288
2015-11-17,4.11,4.11,4.02,4.02,516
2015-11-16,4.4,4.4,4.12,4.12,696
2015-11-13,4.8,4.8,4.4,4.4,118
2015-11-06,4.48,4.73,4.48,4.73,113
2015-11-04,4.65,4.65,4.32,4.38,1413
2015-11-03,5.1,5.1,5.1,5.1,99
2015-10-16,5.45,5.45,5.45,5.45,1
2015-10-15,5.32,5.32,5.32,5.32,15
2015-10-12,4.44,4.44,4.44,4.44,1
2015-10-09,5.54,5.54,5.54,5.54,59
2015-10-08,5.45,5.45,5.45,5.45,1000
2015-10-07,4.8,5.73,4.8,5.1,305
2015-10-06,4.6,5.52,4.08,5.5,4954
2015-10-02,4.01,4.6,4.01,4.6,3
2015-10-01,4.29,5.1,4.04,4.7,871
2015-09-30,3.93,4.3,3.51,4.3,104
2015-09-29,4.08,4.08,3.28,3.28,2362
2015-09-28,4.46,4.46,3.59,3.59,114
2015-09-25,4.31,5.15,4.31,5.15,108
2015-09-24,4.3,4.73,4.3,4.73,4
2015-09-23,4.4,5.05,4.4,5.05,224
2015-09-22,4.61,4.61,4.4,4.4,110
2015-09-21,4.91,5.05,4.61,5.05,105
2015-09-18,5.0,5.38,5.0,5.38,1314
2015-09-17,5.3,5.38,5.3,5.38,13
2015-09-16,5.0,5.45,4.82,5.45,319
2015-09-15,4.7,5.73,4.7,5.73,13
2015-09-14,4.87,5.6,4.87,5.59,642
2015-09-11,4.04,4.88,4.0,4.88,3884
2015-09-10,3.31,4.04,3.31,4.04,71
2015-09-09,3.39,4.03,3.12,4.03,609
2015-09-08,3.37,3.37,3.12,3.12,301
2015-09-07,3.37,3.37,3.37,3.37,1
2015-09-04,3.5,3.85,3.11,3.85,147
2015-09-03,3.84,3.85,3.84,3.85,130
2015-09-01,3.5,3.5,3.5,3.5,1
2015-08-31,3.55,3.85,3.55,3.85,4
2015-08-28,3.52,4.1,3.22,4.09,347
2015-08-27,3.28,3.52,3.1,3.52,441
2015-08-25,3.55,3.55,3.55,3.55,111
2015-08-24,3.46,4.15,3.46,4.15,289
2015-08-21,3.6,3.8,3.6,3.8,142
2015-08-18,3.7,4.42,3.7,4.42,135
2015-08-17,3.5,3.7,3.5,3.7,145
2015-08-14,3.84,3.84,3.19,3.19,856
2015-08-13,3.2,3.2,3.2,3.2,1
2015-08-12,3.76,4.0,3.01,4.0,1332
2015-08-11,4.0,4.0,4.0,4.0,125
2015-08-10,4.0,4.5,3.71,4.5,903
2015-08-07,3.75,4.4,3.75,4.4,136
2015-08-06,4.7,5.03,3.77,4.2,2212
2015-08-05,5.1,5.1,4.1,5.05,298
2015-08-04,4.37,5.14,4.1,4.26,7512
2015-08-03,4.51,4.97,4.1,4.79,119
2015-07-31,4.28,4.68,4.04,4.5,333
2015-07-30,4.7,4.83,4.01,4.8,15
2015-07-29,4.64,4.89,4.01,4.85,686
2015-07-28,4.46,4.46,4.46,4.46,167
2015-07-27,4.46,4.88,4.46,4.88,14
2015-07-24,4.7,5.05,4.6,5.05,329
2015-07-23,4.62,4.62,4.62,4.62,65
2015-07-22,4.2,4.2,4.2,4.2,1
2015-07-21,4.7,4.7,4.28,4.6,18
2015-07-20,4.7,5.37,3.83,5.37,4898
2015-07-17,4.8,5.5,4.38,5.15,843
2015-07-16,4.78,4.78,4.78,4.78,6
2015-07-15,4.76,5.08,4.5,5.08,677
2015-07-14,4.8,5.1,4.76,5.1,108
2015-07-10,5.23,5.23,5.23,5.23,3
2015-07-09,5.26,5.26,4.78,5.25,10
2015-07-08,4.78,5.3,4.78,5.3,11
2015-07-07,4.81,5.45,4.81,5.45,5
2015-07-06,5.4,5.49,4.8,5.49,5
2015-07-03,5.1,5.77,4.76,5.77,1685
2015-07-02,5.0,5.48,4.75,5.1,1106
2015-07-01,4.64,5.0,4.64,5.0,3
2015-06-30,4.95,5.3,4.82,5.09,918
2015-06-29,4.96,4.96,4.96,4.96,150
2015-06-26,5.5,5.69,4.9,5.68,242
2015-06-25,5.4,5.78,4.9,5.78,8
2015-06-24,5.2,5.63,4.9,5.61,1066
2015-06-23,4.91,5.2,4.91,5.19,1110
2015-06-22,5.9,5.9,4.95,5.62,4
2015-06-19,5.59,5.97,4.85,5.97,812
2015-06-18,5.9,5.9,4.86,5.6,694
2015-06-17,5.84,5.95,5.02,5.95,111
2015-06-16,6.0174,6.0174,4.88,4.88,2
2015-06-15,5.8132,6.2993,4.7147,6.2021,3064
2015-06-12,5.055,6.066,4.3259,6.066,3676
2015-06-11,5.6869,5.6869,4.5689,5.2494,1291
2015-06-10,5.7063,5.9007,4.8703,5.2494,524
2015-06-09,5.7646,5.7646,4.6273,5.6869,63
2015-06-08,5.9785,5.9785,4.812,5.7646,124
2015-06-05,4.9772,5.9688,4.4328,5.9688,2421
2015-06-03,4.4231,4.9092,4.4231,4.9092,3
2015-06-02,4.9772,4.9772,4.4231,4.948,20
2015-06-01,4.0343,4.8411,3.7135,4.8411,458
2015-05-29,4.4037,5.0064,4.0343,4.0343,917
2015-05-28,4.4134,5.0161,4.4037,5.0161,159
2015-05-27,4.4037,5.0453,4.4037,4.4037,14
2015-05-26,5.2494,5.2494,4.4717,5.1036,147
2015-05-25,5.2494,5.3077,4.3842,5.3077,149
2015-05-22,5.0453,5.3077,4.3745,4.3745,141
2015-05-21,4.6564,5.3466,4.6564,5.0453,1543
2015-05-20,3.8982,4.6661,3.8982,4.6661,2109
2015-05-19,3.9857,3.9857,3.9857,3.9857,10
2015-05-18,3.4996,3.9857,3.4996,3.9857,3682
2015-05-14,3.4704,3.4802,3.4704,3.4802,67
2015-05-12,3.4704,3.4802,3.4704,3.4802,57
2015-05-11,3.4704,3.4704,3.4704,3.4704,5
2015-05-04,3.4704,3.4704,3.4704,3.4704,103
2015-04-30,3.4704,3.4704,3.4704,3.4704,11
2015-04-28,3.4704,3.4704,3.4704,3.4704,113
2015-04-24,3.4704,3.4704,3.4704,3.4704,103
2015-04-21,3.1010000000000004,3.4024,3.1010000000000004,3.4024,173
2015-04-15,3.1594,3.3052,3.0135,3.3052,63
2015-04-13,3.1594,3.1594,3.1594,3.1594,3
2015-04-10,3.1594,3.1594,3.1594,3.1594,4
2015-04-09,3.1010000000000004,3.1010000000000004,2.9261,2.9261,163
2015-04-08,3.1010000000000004,3.4802,3.1010000000000004,3.4802,366
2015-04-02,3.9857,4.4134,3.3052,3.3149,2890
2015-03-31,4.4134,4.4134,3.8884,4.4134,255
2015-03-30,3.3052,4.5495,3.1010000000000004,4.462,2973
2015-03-27,3.6163,3.6163,3.6163,3.6163,4
2015-03-25,3.6065,3.6065,3.6065,3.6065,31
2015-03-23,3.6843,3.6843,3.1108,3.6260000000000003,117
2015-03-20,2.8094,3.1788,2.6927,3.1788,709
2015-03-19,3.3538,3.3538,3.1108,3.1108,322
2015-03-18,2.9941,3.451,2.4011,3.4218,4622
2015-03-16,3.694,3.694,3.3635,3.694,155
2015-03-13,3.0816,3.694,2.6344,3.694,499
2015-03-12,3.6454,4.1801,3.033,3.7135,1541
2015-03-11,4.0051,4.5592,3.8884,4.4717,498
2015-03-10,4.1801,4.2773,3.8884,4.2773,250
2015-03-09,4.4912,4.8508,3.9371,4.8508,514
2015-03-06,4.4037,5.055,4.4037,5.055,364
2015-03-05,3.801,4.4912,3.0427,4.4037,3196
2015-03-04,5.297999999999999,5.3175,4.1218,4.1218,618
2015-03-03,5.3466,5.8229,4.8606,5.7452,572
2015-03-02,5.3952,6.4743,5.3466,5.8229,912
2015-02-27,5.4924,5.4924,4.3939,5.3952,177
2015-02-26,4.3453,5.2008,4.3453,5.1522,709
2015-02-25,2.9163,4.1995,2.3331,4.1995,820
2015-02-24,3.9565,4.2578,3.1691,3.4024,2166
2015-02-23,2.6247,3.1496,2.6247,3.1496,622
2015-02-20,2.1386,2.5664,2.09,2.5275,5262
2015-02-19,1.7887,2.1386,1.7887,1.9442,1009
2015-02-16,1.5554,1.6137,1.5554,1.6137,1910
2015-02-04,1.5943,1.5943,1.5943,1.5943,315
2015-01-28,1.7012,1.7012,1.6526,1.6526,1688
2015-01-26,1.8373,1.8373,1.8373,1.8373,273
2015-01-21,1.8567,1.8567,1.8567,1.8567,1
2015-01-15,2.0414,2.0414,1.8178,1.8178,289
2015-01-14,2.2164,2.2164,2.2164,2.2164,226
2015-01-08,2.4303,2.4303,2.4303,2.4303,1
2014-12-30,2.372,2.372,2.372,2.372,144
2014-12-29,1.9151,2.1289,1.9151,2.1289,82
2014-12-22,1.847,1.9151,1.847,1.9151,51
2014-12-19,1.6915,1.847,1.6915,1.847,120
2014-12-17,1.5554,1.6915,1.4582,1.6915,208
2014-12-15,1.604,1.6915,1.604,1.6915,103
2014-12-12,1.5068,1.604,1.5068,1.604,174
2014-12-11,1.3124,1.5068,1.3124,1.5068,792
2014-12-04,1.361,1.361,1.361,1.361,176
2014-11-28,1.6818,1.6818,1.361,1.361,309
2014-11-27,1.5262,1.5262,1.5262,1.5262,1
2014-09-30,1.6331,1.6915,1.6331,1.6915,104
2014-08-18,1.5554,1.5554,1.5554,1.5554,113
2014-07-25,1.672,1.672,1.672,1.672,102
2014-07-10,1.7109,1.7109,1.7109,1.7109,1
2014-06-17,1.672,1.672,1.672,1.672,1
2014-05-30,1.7498,1.7498,1.7498,1.7498,257
2014-05-29,1.7012,1.7498,1.604,1.7498,155
2014-05-26,1.7692,1.9151,1.7692,1.9151,93
2014-05-23,1.7984,1.9151,1.7984,1.9151,62
2014-05-22,1.7984,1.9345,1.4582,1.7498,2775
2014-05-21,1.9345,1.9345,1.9345,1.9345,617
2014-04-30,1.8956,1.8956,1.8956,1.8956,21
2014-04-04,1.9442,1.9442,1.9442,1.9442,73
2014-03-31,2.3331,2.3331,2.3331,2.3331,10
2014-03-13,1.9539,1.9539,1.9442,1.9442,287
2014-02-20,2.4303,2.4303,2.4303,2.4303,51
2014-01-22,2.6247,2.6247,2.6247,2.6247,10
2014-01-21,2.6247,2.6247,2.6247,2.6247,41
2014-01-16,3.1885,3.1885,3.1885,3.1885,55
2014-01-15,2.8191,2.8191,2.8191,2.8191,43
2014-01-10,2.5761,2.5761,2.5761,2.5761,2
2014-01-09,2.3331,2.3331,2.3331,2.3331,6
2013-11-21,2.2359,2.2359,1.7984,1.7984,2
2013-11-19,1.9442,1.9442,1.9442,1.9442,103
2013-11-15,1.6526,1.6526,1.6526,1.6526,206
2013-10-15,1.7206,1.7206,1.7206,1.7206,566
2013-04-24,2.1386,2.1386,2.1386,2.1386,720
2013-03-28,2.1386,2.1386,2.1386,2.1386,10
2013-02-19,2.0512,2.0512,1.9442,1.9442,72
2012-11-19,2.1484,2.1484,2.1484,2.1484,823
2012-11-16,2.3428,2.3428,2.2359,2.2359,206
2012-10-03,2.7219,2.7219,2.7219,2.7219,5143
2012-09-26,2.5664,2.5664,2.5664,2.5664,10
2012-09-07,2.5858,2.5858,2.1386,2.1386,669
2012-06-29,2.5178,2.5178,2.5178,2.5178,514
2012-06-19,1.9442,1.9442,1.9442,1.9442,51
2012-06-14,2.4206,2.4206,2.4206,2.4206,514
2012-05-25,1.9442,1.9442,1.9442,1.9442,823
2012-05-24,2.1386,2.1386,2.1386,2.1386,1543
2012-05-22,2.1386,2.1386,2.1386,2.1386,51
2012-05-16,1.9345,1.9345,1.9345,1.9345,1029
2012-05-14,2.197,2.197,2.197,2.197,1234
2012-04-10,2.6733,2.6733,2.6733,2.6733,1
2012-03-30,2.2359,2.2359,2.2359,2.2359,2
2012-03-28,2.2359,2.2359,2.2359,2.2359,2158
2012-03-20,2.1484,2.1484,2.1484,2.1484,172
2012-02-24,2.3331,2.3331,2.3331,2.3331,113
2012-02-21,2.3914,2.3914,2.3914,2.3914,154
2012-02-20,2.3914,2.3914,2.3914,2.3914,388
2012-02-16,2.3817,2.9066,2.3817,2.9066,223
2012-02-07,2.9163,2.9163,2.9163,2.9163,1134
2012-02-06,2.3136,2.7219,2.3136,2.7219,239
2012-01-30,2.2164,2.3525,2.2164,2.3525,105
2012-01-24,2.1484,2.1484,2.1484,2.1484,103
2012-01-23,2.2942,2.2942,2.2942,2.2942,103
2012-01-17,2.7122,2.8191,2.7122,2.8191,105
2012-01-16,2.2747,2.7219,2.2747,2.7219,103
2012-01-13,2.2747,2.2747,2.2747,2.2747,2
2012-01-12,2.0414,2.0414,2.0414,2.0414,21
2012-01-09,1.9539,1.9539,1.9539,1.9539,195
2012-01-04,2.8094,2.8094,2.1095,2.1095,113
2012-01-03,2.3428,2.3428,2.3428,2.3428,307
2011-12-30,3.3441,3.3441,3.3441,3.3441,2
2011-12-29,2.5275,2.8191,2.5275,2.8191,6
2011-12-27,2.0025,2.3914,2.0025,2.3914,96
2011-12-16,2.4303,2.4303,2.372,2.4303,198
