Date,Open,High,Low,Close,Volume
2016-07-28,6.0,6.29,5.02,6.19,464
2016-07-27,6.0,6.34,5.69,6.24,1812
2016-07-26,7.1,7.1,5.75,6.29,4347
2016-07-25,7.47,7.48,7.3,7.3,573
2016-07-22,7.0,7.49,6.5,7.48,715
2016-07-21,7.21,7.39,6.5,7.0,276
2016-07-20,7.6,7.9,6.35,7.2,1816
2016-07-19,7.69,7.69,6.22,7.19,695
2016-07-18,7.45,8.2,6.5,7.7,1167
2016-07-15,7.14,7.14,6.1,7.11,1765
2016-07-14,5.02,6.0,5.02,6.0,2307
2016-07-13,5.01,5.33,5.0,5.2,494
2016-07-12,5.29,5.3,5.02,5.26,560
2016-07-11,5.28,5.33,4.9,5.23,2848
2016-07-08,5.31,5.31,5.0,5.29,1312
2016-07-07,5.12,5.59,4.9,5.28,2246
2016-07-06,5.4,5.73,5.01,5.6,3160
2016-07-05,5.17,5.8,5.05,5.8,3985
2016-07-04,5.45,5.78,5.1,5.78,5807
2016-07-01,5.85,5.93,5.5,5.7,22580
2016-06-30,5.7,6.34,5.5,5.7,5250
2016-06-29,7.2,7.37,5.7,5.7,11277
2016-06-28,8.5,8.5,6.8,7.38,37340
2016-06-27,9.5,11.3,8.05,9.05,3328
2016-06-24,9.2,11.04,9.0,9.69,8725
2016-06-23,12.2,13.2,9.76,10.44,7103
2016-06-22,11.3,13.56,11.3,12.61,6935
2016-06-21,13.19,13.5,11.0,11.8,1683
2016-06-20,14.6,14.6,13.2,13.2,628
2016-06-17,13.77,15.19,13.5,15.19,1972
2016-06-16,14.49,14.8,14.49,14.8,385
2016-06-15,14.61,15.0,14.42,14.5,2351
2016-06-14,15.0,15.8,15.0,15.5,2514
2016-06-13,14.85,15.49,14.5,15.48,540
2016-06-10,14.6,15.49,14.01,15.49,1185
2016-06-09,14.5,15.19,14.0,15.18,448
2016-06-08,15.12,15.24,14.0,15.13,1130
2016-06-07,14.35,15.35,13.9,15.1,1151
2016-06-06,15.1,16.39,12.9,14.35,1777
2016-06-03,15.3,16.0,15.0,15.0,847
2016-06-02,15.6,15.83,14.0,15.48,1690
2016-06-01,15.8,18.5,13.6,16.25,5165
2016-05-31,13.6,16.3,11.09,16.08,5585
2016-05-30,7.96,11.46,7.12,11.46,10664
2016-05-27,8.88,8.88,7.11,7.98,21353
2016-05-25,5.05,7.57,5.05,7.57,51737
